toyokumo_id,nest_level,prefectures_name,zone_name,region_name,city_name
161,2,北海道,北海道道東,釧路地方中南部,釧路市、釧路郡［釧路町］、厚岸郡［厚岸町、浜中町］、川上郡の一部（標茶町）、阿寒郡［鶴居村］、白糠郡［白糠町］
165,2,北海道,北海道道東,根室地方北部,標津郡［中標津町、標津町］、目梨郡［羅臼町］
166,2,北海道,北海道道東,根室地方中部,野付郡［別海町］
167,2,北海道,北海道道東,根室地方南部,根室市
200,2,青森県,青森,青森県津軽北部,青森市、五所川原市、つがる市、東津軽郡［平内町、今別町、蓬田村、外ヶ浜町］、北津軽郡［板柳町、鶴田町、中泊町］
201,2,青森県,青森,青森県津軽南部,弘前市、黒石市、平川市、西津軽郡［鰺ヶ沢町、深浦町］、中津軽郡［西目屋村］、南津軽郡［藤崎町、大鰐町、田舎館村］
202,2,青森県,青森,青森県三八上北,八戸市、十和田市、三沢市、上北郡［野辺地町、七戸町、六戸町、横浜町、東北町、六ヶ所村、おいらせ町］、三戸郡［三戸町、五戸町、田子町、南部町、階上町、新郷村］
203,2,青森県,青森,青森県下北,むつ市、下北郡［大間町、東通村、風間浦村、佐井村］
210,2,岩手県,岩手,岩手県沿岸北部,宮古市、久慈市、下閉伊郡［山田町、岩泉町、田野畑村、普代村］、九戸郡の一部(洋野町、野田村)
211,2,岩手県,岩手,岩手県沿岸南部,大船渡市、陸前高田市、釜石市、気仙郡［住田町］、上閉伊郡［大槌町］
212,2,岩手県,岩手,岩手県内陸北部,盛岡市、二戸市、八幡平市、滝沢市、岩手郡［雫石町、葛巻町、岩手町］、紫波郡［紫波町、矢巾町］、九戸郡の一部(軽米町、九戸村)、二戸郡［一戸町］
213,2,岩手県,岩手,岩手県内陸南部,花巻市、北上市、遠野市、一関市、奥州市、和賀郡［西和賀町］、胆沢郡［金ケ崎町］、西磐井郡［平泉町］
220,2,宮城県,宮城,宮城県北部,気仙沼市、登米市、栗原市、大崎市、加美郡［色麻町、加美町］、遠田郡［涌谷町、美里町］、本吉郡［南三陸町］
222,2,宮城県,宮城,宮城県中部,仙台市、石巻市、塩竈市、多賀城市、東松島市、富谷市、宮城郡［松島町、七ヶ浜町、利府町］、黒川郡［大和町、大郷町、大衡村］、牡鹿郡［女川町］
221,2,宮城県,宮城,宮城県南部,白石市、名取市、角田市、岩沼市、刈田郡［蔵王町、七ヶ宿町］、柴田郡［大河原町、村田町、柴田町、川崎町］、伊具郡［丸森町］、亘理郡［亘理町、山元町］
230,2,秋田県,秋田,秋田県沿岸北部,能代市、男鹿市、潟上市、山本郡［藤里町、三種町、八峰町］、南秋田郡［五城目町、八郎潟町、井川町、大潟村］
231,2,秋田県,秋田,秋田県沿岸南部,秋田市、由利本荘市、にかほ市
232,2,秋田県,秋田,秋田県内陸北部,大館市、鹿角市、北秋田市、鹿角郡［小坂町］、北秋田郡［上小阿仁村］
233,2,秋田県,秋田,秋田県内陸南部,横手市、湯沢市、大仙市、仙北市、仙北郡［美郷町］、雄勝郡［羽後町、東成瀬村］
240,2,山形県,山形,山形県庄内,鶴岡市、酒田市、東田川郡［三川町、庄内町］、飽海郡［遊佐町］
241,2,山形県,山形,山形県最上,新庄市、最上郡［金山町、最上町、舟形町、真室川町、大蔵村、鮭川村、戸沢村］
242,2,山形県,山形,山形県村山,山形市、寒河江市、上山市、村山市、天童市、東根市、尾花沢市、東村山郡［山辺町、中山町］、西村山郡［河北町、西川町、朝日町、大江町］、北村山郡［大石田町］
243,2,山形県,山形,山形県置賜,米沢市、長井市、南陽市、東置賜郡［高畠町、川西町］、西置賜郡［小国町、白鷹町、飯豊町］
250,2,福島県,福島,福島県中通り,福島市、郡山市、白河市、須賀川市、二本松市、田村市、伊達市、本宮市、伊達郡［桑折町、国見町、川俣町］、安達郡［大玉村］、岩瀬郡［鏡石町、天栄村］、西白河郡［西郷村、泉崎村、中島村、矢吹町］、東白川郡［棚倉町、矢祭町、塙町、鮫川村］、石川郡［石川町、玉川村、平田村、浅川町、古殿町］、田村郡［三春町、小野町］
251,2,福島県,福島,福島県浜通り,いわき市、相馬市、南相馬市、双葉郡［広野町、楢葉町、富岡町、川内村、大熊町、双葉町、浪江町、葛尾村］、相馬郡［新地町、飯舘村］
252,2,福島県,福島,福島県会津,会津若松市、喜多方市、南会津郡［下郷町、檜枝岐村、只見町、南会津町］、耶麻郡［北塩原村、西会津町、磐梯町、猪苗代町］、河沼郡［会津坂下町、湯川村、柳津町］、大沼郡［三島町、金山町、昭和村、会津美里町］
300,2,茨城県,茨城,茨城県北部,水戸市、日立市、常陸太田市、高萩市、北茨城市、笠間市、ひたちなか市、常陸大宮市、那珂市、小美玉市、東茨城郡［茨城町、大洗町、城里町］、 那珂郡［東海村］、久慈郡［大子町］
301,2,茨城県,茨城,茨城県南部,土浦市、古河市、石岡市、結城市、龍ケ崎市、下妻市、常総市、取手市、牛久市、つくば市、鹿嶋市、潮来市、守谷市、筑西市、坂東市、稲敷市、かすみがうら市、桜川市、神栖市、行方市、鉾田市、つくばみらい市、稲敷郡［美浦村、阿見町、河内町］、結城郡［八千代町］、猿島郡［五霞町、境町］、北相馬郡［利根町］
310,2,栃木県,栃木,栃木県北部,日光市、大田原市、矢板市、那須塩原市、塩谷郡の一部（塩谷町）、那須郡の一部（那須町）
311,2,栃木県,栃木,栃木県南部,宇都宮市、足利市、栃木市、佐野市、鹿沼市、小山市、真岡市、さくら市、那須烏山市、下野市、河内郡［上三川町］、芳賀郡［益子町、茂木町、市貝町、芳賀町］、下都賀郡［壬生町、野木町］、塩谷郡の一部（高根沢町）、那須郡の一部（那珂川町）
320,2,群馬県,群馬,群馬県北部,沼田市、吾妻郡［中之条町、長野原町、嬬恋村、草津町、高山村、東吾妻町］、利根郡［片品村、川場村、昭和村、みなかみ町］
